term_id,concept_id,language_id,language_code,country_code,language_name,term_content,term_originator_reference,term_document_id,term_url,term_description,term_organization_id,term_organization_name,term_is_deprecated,concept_type_id,concept_type_name,concept_is_deprecated,definition_id,definition_content,definition_under_development,definition_originator_reference,definition_document_id,definition_url,definition_description,definition_organization_id,definition_organization_name,definition_is_deprecated,definition_is_default,label_id,label_content,label_originator_reference,label_document_id,label_url,label_description,label_organization_id,label_organization_name,label_is_deprecated,abbreviation_id,abbreviation_content,abbreviation_originator_ref,abbreviation_document_id,abbreviation_url,abbreviation_description,abbreviation_organization_id,abbreviation_organization_name,abbreviation_is_deprecated,plural_id,plural_singular_term_item_id,plural_content,plural_originator_reference,plural_document_id,plural_url,plural_description,plural_organization_id,plural_organization_name,plural_is_deprecated,nain
0161-1#TM-2929132#1,0161-1#09-0000154#1,0161-1#LG-000001#1,en,en,English-United States,triple store,"ISO/TS 15926-8:2011(en), 2.1.43 (1000004312)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929168#1,"triple store: data store capable of storing triples (2.1.42) - ISO/TS 15926-8:2011(en), 2.1.43",,"ISO/TS 15926-8:2011(en), 2.1.43 (1000004312)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929114#1,0161-1#09-0000136#1,0161-1#LG-000001#1,en,en,English-United States,property,"ISO/TS 15926-6:2013(en), 3.1.12 (1000004224)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929150#1,"property: aspect or quality of something that can be determined by measurement - ISO/TS 15926-6:2013(en), 3.1.12",,"ISO/TS 15926-6:2013(en), 3.1.12 (1000004224)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929092#1,0161-1#09-0000114#1,0161-1#LG-000001#1,en,en,English-United States,authority,"ISO 22745-2:2010(en), 19.4 (1000001431)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929128#1,"authority: body that has legal powers and rights - ISO 22745-2:2010(en), 19.4",,"ISO 22745-2:2010(en), 19.4 (1000001431)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929088#1,0161-1#09-0000110#1,0161-1#LG-000001#1,en,en,English-United States,data warehouse,"ISO 15926-2:2003(en), 3.1.5 (1000001198)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929124#1,"data warehouse: data store in which related data are merged to provide an integrated set of data containing no duplication or redundancy of information, and which supports many different application viewpoints - ISO 15926-2:2003(en), 3.1.5",,"ISO 15926-2:2003(en), 3.1.5 (1000001198)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929128#1,0161-1#09-0000150#1,0161-1#LG-000001#1,en,en,English-United States,individual,"ISO 15926-8:2011(en), 2.1.12 (1000004278)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929164#1,"individual: thing that exists in space and time - ISO 15926-8:2011(en), 2.1.12",,"ISO 15926-8:2011(en), 2.1.12 (1000004278)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929105#1,0161-1#09-0000127#1,0161-1#LG-000001#1,en,en,English-United States,class,"ISO/TS 15926-11:2015(en), 3.1.1 (1000004187)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929141#1,"class: category or division of things based on one or more criteria for inclusion and exclusion - ISO/TS 15926-11:2015(en), 3.1.1",,"ISO/TS 15926-11:2015(en), 3.1.1 (1000004187)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929099#1,0161-1#09-0000121#1,0161-1#LG-000001#1,en,en,English-United States,general purpose processor,"ISO 2806:1994(en), 2.1.13 (1000001743)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929135#1,"general purpose processor: computer program which carries out computations on the part program (2.3.7) and prepares the cutter location data (2.3.17) for a particular part without reference to machines on which it might be made - ISO 2806:1994(en), 2.1.13",,"ISO 2806:1994(en), 2.1.13 (1000001743)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929086#1,0161-1#09-0000108#1,0161-1#LG-000001#1,en,en,English-United States,conceptual data model,"ISO 15926-2:2003(en), 3.1.2 (1000001195)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929122#1,"conceptual data model: data model in the three schema architecture defined by ISO/TR 9007[2], in which the structure of data is represented in a form independent of any physical storage or external presentation format - ISO 15926-2:2003(en), 3.1.2",,"ISO 15926-2:2003(en), 3.1.2 (1000001195)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929151#1,0161-1#09-0000173#1,0161-1#LG-000001#1,en,en,English-United States,tagged image file format (TIFF),"ISO 12651-1:2012(en), 4.132 (1000004415)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929187#1,"tagged image file format (TIFF): image (4.67) file structure that consists of a series of headers or tags plus the image data - ISO 12651-1:2012(en), 4.132",,"ISO 12651-1:2012(en), 4.132 (1000004415)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929111#1,0161-1#09-0000133#1,0161-1#LG-000001#1,en,en,English-United States,manufactured product class,"ISO/TS 15926-4:2007(en), 3.2.5 (1000004216)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929147#1,"manufactured product class: class whose members are individuals produced by a manufacturing process - ISO/TS 15926-4:2007(en), 3.2.5",,"ISO/TS 15926-4:2007(en), 3.2.5 (1000004216)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929110#1,0161-1#09-0000132#1,0161-1#LG-000001#1,en,en,English-United States,de facto class,"ISO/TS 15926-4:2007(en), 3.2.4 (1000004215)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929146#1,"de facto class: class corresponding to common natures that are widely recognized but not formally agreed or defined - ISO/TS 15926-4:2007(en), 3.2.4",,"ISO/TS 15926-4:2007(en), 3.2.4 (1000004215)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929090#1,0161-1#09-0000112#1,0161-1#LG-000001#1,en,en,English-United States,object class,"ISO 22745-2:2010(en), 14.3 (1000001407)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929126#1,"object class: set of ideas, abstractions, or things in the real world that are identified with explicit boundaries and meaning and whose properties and behavior follow the same rules - ISO 22745-2:2010(en), 14.3",,"ISO 22745-2:2010(en), 14.3 (1000001407)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929134#1,0161-1#09-0000156#1,0161-1#LG-000001#1,en,en,English-United States,entity,"ISO/TS 15926-8:2011(en), 2.1.8 (1000004317)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929170#1,"entity: class of information defined by common properties [ISO 10303-11:2004, definition 3.3.6] - ISO/TS 15926-8:2011(en), 2.1.8",,"ISO/TS 15926-8:2011(en), 2.1.8 (1000004317)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929098#1,0161-1#09-0000120#1,0161-1#LG-000001#1,en,en,English-United States,head,"ISO 22745-2:2010(en), 3.2 (1000001453)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929134#1,"head: word or group of words in a phrase around which the other constituents cluster - ISO 22745-2:2010(en), 3.2",,"ISO 22745-2:2010(en), 3.2 (1000001453)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929095#1,0161-1#09-0000117#1,0161-1#LG-000001#1,en,en,English-United States,item of supply,"ISO 22745-2:2010(en), 22.1 (1000001446)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929131#1,"item of supply: class of substitutable goods or services that fulfil a fit, form or function defined by a buyer - ISO 22745-2:2010(en), 22.1",,"ISO 22745-2:2010(en), 22.1 (1000001446)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929068#1,0161-1#09-000090#1,0161-1#LG-000001#1,en,en,English-United States,generic reliability data,"ISO 14224:2006(en), 3.23 (1000000876)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929104#1,"generic reliability data: reliability data covering families of similar equipment - ISO 14224:2006(en), 3.23",,"ISO 14224:2006(en), 3.23 (1000000876)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929156#1,0161-1#09-0000178#1,0161-1#LG-000001#1,en,en,English-United States,electronic image,"ISO 12651-1:2012(en), 4.48 (1000004477)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929192#1,"electronic image: digital representation of a document (4.41) - ISO 12651-1:2012(en), 4.48",,"ISO 12651-1:2012(en), 4.48 (1000004477)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929150#1,0161-1#09-0000172#1,0161-1#LG-000001#1,en,en,English-United States,joint photographic experts group (JPEG),"ISO 12651-1:2012(en), 4.83 (1000004391)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929186#1,"joint photographic experts group (JPEG): image compression (4.69) algorithm specified in ISO 10918-4 - ISO 12651-1:2012(en), 4.83",,"ISO 12651-1:2012(en), 4.83 (1000004391)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
